symbol,sector,Ask,Ask.Size,Average.Daily.Volume,Bid,Bid.Size,Book.Value,Change,Change.From.200.day.Moving.Average,Change.From.50.day.Moving.Average,Change.From.52.week.High,Change.From.52.week.Low,Change.in.Percent,Currency,Days.High,Days.Low,Days.Range,Dividend.Pay.Date,Dividend.per.Share,Dividend.Yield,EBITDA,EPS,EPS.Estimate.Current.Year,EPS.Estimate.Next.Quarter,EPS.Estimate.Next.Year,Ex.Dividend.Date,Float.Shares,High.52.week,Last.Trade.Date,Last.Trade.Price.Only,Last.Trade.Size,Last.Trade.With.Time,Low.52.week,Market.Capitalization,Moving.Average.200.day,Moving.Average.50.day,Name,Open,PE.Ratio,PEG.Ratio,Percent.Change.From.200.day.Moving.Average,Percent.Change.From.50.day.Moving.Average,Percent.Change.From.52.week.High,Percent.Change.From.52.week.Low,Previous.Close,Price.to.Book,Price.to.EPS.Estimate.Current.Year,Price.to.EPS.Estimate.Next.Year,Price.to.Sales,Range.52.week,Revenue,Shares.Outstanding,Short.Ratio,Stock.Exchange,Target.Price.1.yr.,Volume,Return.Avg.50.day
AAAP,Health Care,38.21,100,119633,38.16,100,7.3,0.2,3.82,0.05,-2.72,14.7,0.0053,USD,38.39,37.98,37.98 - 38.39,NA,NA,NA,-7.89E+06,-0.67,-0.7,-0.16,0.31,NA,3.25E+07,40.92,5/2/17,38.2,100,12:08pm - <b>38.20</b>,23.5,1.68E+09,34.38,38.15,Advanced Accelerator Applicatio,37.99,NA,0,0.1112,0.0012,-0.0665,0.6255,38,5.21,NA,123.23,14.27,23.50 - 40.92,1.17E+08,4.40E+07,3.99,NMS,44.2,55794,0.00123808
AAL,Transportation,43.12,300,6971160,43.11,500,6.97,1.04,-1.57,0.29,-7.52,18.27,0.0247,USD,43.13,42.05,42.05 - 43.13,5/30/17,0.4,0.94,7.16E+09,4.17,4.64,1.56,5.34,2/9/17,4.46E+08,50.64,5/2/17,43.12,100,12:09pm - <b>43.12</b>,24.85,2.14E+10,44.69,42.83,"American Airlines Group, Inc.",42.06,10.34,3.25,-0.0352,0.0068,-0.1485,0.7352,42.08,6.03,9.29,8.07,0.52,24.85 - 50.64,4.04E+10,4.96E+08,4.49,NMS,53.13,4057054,-0.001758505
AAME,Finance,3.8,200,2718,3.7,1100,5.16,-0.15,-0.16,-0.14,-0.95,0.64,-0.039,USD,3.75,3.65,3.65 - 3.75,4/24/17,0.02,0.51,6.29E+06,0.11,NaN,0,NA,4/11/17,5.83E+06,4.65,5/2/17,3.7,100,10:53am - <b>3.70</b>,3.06,7.56E+07,3.86,3.84,Atlantic American Corporation,3.65,33.94,0,-0.0424,-0.0358,-0.2043,0.2092,3.85,0.75,NA,NA,0.47,3.06 - 4.65,1.66E+08,2.04E+07,1.23,NGM,NA,4696,9.32E-04
AAOI,Technology,47.73,100,2033430,47.67,300,12.36,-2.45,13.59,-1.46,-12.51,39.6,-0.0489,USD,50.3,47.16,47.16 - 50.30,NA,NA,NA,3.72E+07,1.76,3.9,0.96,4.17,NA,1.69E+07,60.19,5/2/17,47.68,100,12:09pm - <b>47.68</b>,8.08,8.91E+08,34.09,49.14,"Applied Optoelectronics, Inc.",49.98,27.09,0.72,0.3987,-0.0298,-0.2078,4.901,50.13,4.06,12.23,11.43,3.59,8.08 - 60.19,260710000,1.87E+07,1.93,NGM,63.33,1396182,0.007925627
AAON,Capital Goods,37.65,200,161241,37.55,600,3.91,0.15,4.18,2.02,-0.15,12.27,0.004,USD,37.7,37.35,37.35 - 37.70,12/23/16,0.26,0.71,9.30E+07,1,1.1,0.29,1.4,11/30/16,4.10E+07,37.75,5/2/17,37.6,200,12:07pm - <b>37.60</b>,25.33,1.98E+09,33.42,35.58,"AAON, Inc.",37.45,37.6,2.83,0.1252,0.0569,-0.004,0.4847,37.45,9.58,34.18,26.86,5.13,25.33 - 37.75,3.84E+08,5.26E+07,9.66,NMS,34,30805,0.00117724
AAPL,Technology,147.79,400,23464600,147.77,800,25.19,1.2,21.76,5.45,-0.31,58.31,0.0082,USD,148.09,146.98,146.98 - 148.09,2/16/17,2.28,1.59,6.98E+10,8.33,8.95,1.62,10.28,2/9/17,5.19E+09,148.09,5/2/17,147.78,200,12:09pm - <b>147.78</b>,89.47,7.75E+11,126.02,142.33,Apple Inc.,147.54,17.74,1.77,0.1727,0.0383,-0.0021,0.6517,146.58,5.82,16.51,14.38,3.53,89.47 - 148.09,2.18E+11,5.25E+09,2.33,NMS,148.96,4197830,0.001212375
AAWW,Transportation,57.95,300,175379,57.85,300,60.65,0.05,6.34,3.04,-2.15,23.73,9.00E-04,USD,59,57.78,57.78 - 59.00,NA,NA,NA,3.69E+08,1.66,4.69,0.96,5.16,NA,2.45E+07,60.1,5/2/17,57.95,100,12:08pm - <b>57.95</b>,34.22,1.46E+09,51.61,54.91,Atlas Air Worldwide Holdings,58.1,34.99,1.28,0.1229,0.0554,-0.0358,0.6935,57.9,0.95,12.36,11.23,0.79,34.22 - 60.10,1.84E+09,2.51E+07,4.04,NMS,63.43,60809,0.001572283
AAXN,Capital Goods,24.78,2100,1170640,24.76,500,2.88,0.03,0.27,1.75,-5.37,7.6,0.0012,USD,24.82,24.61,24.61 - 24.82,NA,NA,NA,3.75E+07,0.32,0.34,0.08,0.77,NA,5.10E+07,30.15,5/2/17,24.78,100,12:09pm - <b>24.78</b>,17.18,1.30E+09,24.51,23.03,"Axon Enterprise, Inc.",24.66,77.44,2.42,0.0108,0.0758,-0.1781,0.4424,24.75,8.58,72.88,32.18,4.83,17.18 - 30.15,2.68E+08,5.23E+07,9.46,NMS,30.57,151298,-0.001451215
ABAX,Capital Goods,46.56,100,118754,46.45,200,11.812,0.665,-3.53,-1.603,-9.445,4.615,0.01451,USD,48.94,44.601,44.601 - 48.940,6/15/17,0.56,1.24,5.16E+07,1.437,1.25,0.32,1.53,2/27/17,2.16E+07,55.95,5/2/17,46.505,100,12:08pm - <b>46.505</b>,41.89,1.05E+09,50.035,48.108,"ABAXIS, Inc.",45.74,32.363,5.79,-0.07055,-0.03332,-0.16881,0.11017,45.84,3.881,37.204,30.395,4.547,41.890 - 55.950,2.27E+08,2.25E+07,22.58,NMS,52.33,33923,-0.001513207
ABCD,Consumer Services,4.96,400,36797,4.93,200,-1.33,0,-0.05,0.01,-0.94,0.95,0,USD,4.96,4.92,4.92 - 4.96,NA,NA,NA,2.55E+07,0.22,-0.23,0,-0.16,NA,1.37E+07,5.86,5/2/17,4.92,100,11:34am - <b>4.92</b>,3.97,2.27E+08,4.97,4.91,"Cambium Learning Group, Inc.",4.91,22.36,0,-0.0097,0.0022,-0.1597,0.2393,4.92,NA,NA,NA,1.49,3.97 - 5.86,1.52E+08,4.62E+07,1.63,NCM,2,3642,9.10E-04
